experiment,arm,payload_regime,channel_family,condition,trials,capacity_success_rate,geometry_success_rate,exact_recover_rate,robust_recover_rate,decoder_wrong_output_rate,authenticated_false_acceptance_rate,substitution_replay,structure_recovery_rate,data_recovery_rate,diagnostic_accuracy_mean,localization_ms_mean,symbol_decode_ms_mean,ecc_ms_mean,authentication_ms_mean,total_decode_ms_mean
equal_area,custom_grid,large,photo_recompress,photo_a0_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,9.161533322185278,0.49223334644921124,217.75059999587634,0.16973332579558095,229.2058333211268
equal_area,custom_grid,large,photo_recompress,photo_a15_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.578300000711655,0.483533328709503,241.6718666693972,0.13976667347985008,252.41046667603464
equal_area,custom_grid,large,photo_recompress,photo_a15_dark_q50,3,1.0,1.0,0.0,0.0,0.0,0.0,n/a,1.0,0.0,0.7961402090901907,9.505366663991785,0.4296000018560638,509.08546666808735,0.001566678596039613,521.386000017325
equal_area,custom_grid,large,photo_recompress,photo_a15_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,9.24420000713629,0.5687333371800681,237.70810001102896,0.13933332714562616,249.50936666573398
equal_area,custom_grid,large,photo_recompress,photo_a30_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.06130000273697,0.3588000060214351,274.3024333418968,0.13843332999385893,284.2992000029578
equal_area,custom_grid,large,photo_recompress,photo_a30_dark_q50,3,1.0,1.0,0.0,0.0,0.0,0.0,n/a,1.0,0.0,0.9633093262581794,8.668233320349827,0.5008333246223629,491.46140000084415,0.0017000032433619101,503.2495000050403
equal_area,custom_grid,large,photo_recompress,photo_a30_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.594533341238275,0.40366667478034896,313.4030333312694,0.1407999952789396,324.3435999902431
equal_area,custom_grid,large,scale,scale_100,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.439533325145021,0.3738666612965365,221.345066674985,0.15460000334617993,231.72830000597364
equal_area,custom_grid,large,scale,scale_25,3,1.0,1.0,0.0,0.0,0.0,0.0,n/a,1.0,0.0,0.6839666357738649,8.875600004103035,0.40006666677072644,563.8276333338581,0.001600002481912573,575.1041999998657
equal_area,custom_grid,large,scale,scale_50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.169199999732276,0.410933328870063,225.77813332706378,0.14076666169178984,236.2293666616703
equal_area,custom_grid,large,scale,scale_75,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,9.074199993240958,0.42956666826891404,227.69903333391994,0.21366667351685464,239.18476666828306
equal_area,custom_grid,medium,colorspace_gamma,cool_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.867300000119333,0.2215000082893918,113.92873333534226,0.16899999657956263,123.17336665970895
equal_area,custom_grid,medium,colorspace_gamma,gamma_070,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.614366661679621,0.2729666593950242,95.12986666716945,0.13810000382363796,104.2151333434352
equal_area,custom_grid,medium,colorspace_gamma,gamma_140,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.970133320971702,0.22343333694152534,93.42963332892396,0.1384666635810087,102.71706666875009
equal_area,custom_grid,medium,colorspace_gamma,warm_tint,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.7556666801683605,0.24753334582783282,89.45803333578321,0.13526666831846038,98.65859999748257
