experiment,arm,payload_regime,payload_bytes,envelope_bytes,channel_family,condition,repetition,seed,capacity_ok,geometry_ok,build_error,native_ecc,protected_redundancy_ratio,logical_width_modules,logical_height_modules,module_px,min_module_mm,allocated_area_mm2,symbol_area_mm2,effective_capacity_bytes_per_mm2,capture_width_px,capture_height_px,decode_budget_ms,structure_data_independent,exact_recover,robust_recover,decoder_wrong_output,authenticated_false_acceptance,substitution_replay,structure_recovered,data_recovered,diagnostic_accuracy,localization_ms,symbol_decode_ms,ecc_ms,authentication_ms,total_decode_ms,decode_within_budget,output_bytes,notes
equal_area,qr_L,small,512,584,grayscale,grayscale,2,14790507244170927199,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.300200009718537,1.6733000229578465,0.0,0.21169998217374086,8.906399976694956,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_070,0,11722632277907389515,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.397899996954948,1.0480000055395067,0.0,0.13150001177564263,8.421300008194521,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_070,1,16943226058010996281,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.6049000199418515,1.7783000075723976,0.0,0.25419998564757407,10.365099995397031,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_070,2,12418105646952960290,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.072200009133667,1.660300011280924,0.0,0.24259998463094234,9.721399983391166,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_140,0,11308777147689494178,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,8.07189999613911,1.126599992858246,0.0,0.13630001922138035,10.070800024550408,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_140,1,2784322272504407126,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,6.889999989653006,1.7023999826051295,0.0,0.22479999461211264,9.587199980160221,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,gamma_140,2,10508259984468429165,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,1,1,0,0,n/a,1,1,,7.097199995769188,1.1510000040289015,0.0,0.16120000509545207,9.180500026559457,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,warm_tint,0,13405677989410959859,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.755300011718646,1.6028000100050122,0.0,0.13800000306218863,9.238700004061684,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,warm_tint,1,1970180603159532906,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,9.462799993343651,1.8469000060576946,0.0,0.1498999772593379,12.27219999418594,1,584,
equal_area,qr_L,small,512,584,colorspace_gamma,warm_tint,2,17018812656902283624,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,8.014499995624647,1.642499992158264,0.0,0.21689999266527593,10.672600008547306,1,584,
